Nummerical derivartion in task../Plotting_kjetil/n_3
n=  1000
0.6161               0.6161                       0.0000
0.6175               0.6175                       0.0000
0.6189               0.6189                       0.0000
0.6202               0.6202                       0.0000
0.6216               0.6216                       0.0000
0.6229               0.6229                       0.0000
0.6242               0.6242                       0.0000
0.6254               0.6254                       0.0000
0.6267               0.6267                       0.0000
0.6279               0.6279                       0.0000
0.6291               0.6291                       0.0000
0.6303               0.6303                       0.0000
0.6314               0.6314                       0.0000
0.6326               0.6326                       0.0000
0.6337               0.6337                       0.0000
0.6348               0.6348                       0.0000
0.6359               0.6359                       0.0000
0.6369               0.6369                       0.0000
0.6379               0.6379                       0.0000
0.6390               0.6390                       0.0000
0.6399               0.6399                       0.0000
0.6409               0.6409                       0.0000
0.6419               0.6419                       0.0000
0.6428               0.6428                       0.0000
0.6437               0.6437                       0.0000
0.6446               0.6446                       0.0000
0.6455               0.6455                       0.0000
0.6463               0.6463                       0.0000
0.6472               0.6472                       0.0000
0.6480               0.6480                       0.0000
0.6488               0.6488                       0.0000
0.6496               0.6496                       0.0000
0.6504               0.6504                       0.0000
0.6511               0.6511                       0.0000
0.6518               0.6518                       0.0000
0.6525               0.6526                       0.0000
0.6532               0.6532                       0.0000
0.6539               0.6539                       0.0000
0.6546               0.6546                       0.0000
0.6552               0.6552                       0.0000
0.6559               0.6559                       0.0000
0.6565               0.6565                       0.0000
0.6571               0.6571                       0.0000
0.6577               0.6577                       0.0000
0.6582               0.6582                       0.0000
0.6588               0.6588                       0.0000
0.6593               0.6593                       0.0000
0.6598               0.6598                       0.0000
0.6603               0.6603                       0.0000
0.6608               0.6608                       0.0000
0.6613               0.6613                       0.0000
0.6618               0.6618                       0.0000
0.6622               0.6622                       0.0000
0.6626               0.6627                       0.0000
0.6631               0.6631                       0.0000
0.6635               0.6635                       0.0000
0.6639               0.6639                       0.0000
0.6642               0.6642                       0.0000
0.6646               0.6646                       0.0000
0.6649               0.6650                       0.0000
0.6653               0.6653                       0.0000
0.6656               0.6656                       0.0000
0.6659               0.6659                       0.0000
0.6662               0.6662                       0.0000
0.6665               0.6665                       0.0000
0.6668               0.6668                       0.0000
0.6670               0.6670                       0.0000
0.6673               0.6673                       0.0000
0.6675               0.6675                       0.0000
0.6677               0.6677                       0.0000
0.6679               0.6679                       0.0000
0.6681               0.6681                       0.0000
0.6683               0.6683                       0.0000
0.6685               0.6685                       0.0000
0.6686               0.6687                       0.0000
0.6688               0.6688                       0.0000
0.6689               0.6689                       0.0000
0.6691               0.6691                       0.0000
0.6692               0.6692                       0.0000
0.6693               0.6693                       0.0000
0.6694               0.6694                       0.0000
0.6695               0.6695                       0.0000
0.6695               0.6695                       0.0000
0.6696               0.6696                       0.0000
0.6696               0.6696                       0.0000
0.6697               0.6697                       0.0000
0.6697               0.6697                       0.0000
0.6697               0.6697                       0.0000
0.6697               0.6698                       0.0000
0.6697               0.6698                       0.0000
0.6697               0.6697                       0.0000
0.6697               0.6697                       0.0000
0.6697               0.6697                       0.0000
0.6696               0.6697                       0.0000
0.6696               0.6696                       0.0000
0.6695               0.6695                       0.0000
0.6695               0.6695                       0.0000
0.6694               0.6694                       0.0000
0.6693               0.6693                       0.0000
0.6692               0.6692                       0.0000
0.6691               0.6691                       0.0000
0.6690               0.6690                       0.0000
0.6689               0.6689                       0.0000
0.6687               0.6688                       0.0000
0.6686               0.6686                       0.0000
0.6685               0.6685                       0.0000
0.6683               0.6683                       0.0000
0.6681               0.6681                       0.0000
0.6680               0.6680                       0.0000
0.6678               0.6678                       0.0000
0.6676               0.6676                       0.0000
0.6674               0.6674                       0.0000
0.6672               0.6672                       0.0000
0.6670               0.6670                       0.0000
0.6668               0.6668                       0.0000
0.6665               0.6665                       0.0000
0.6663               0.6663                       0.0000
0.6661               0.6661                       0.0000
0.6658               0.6658                       0.0000
0.6655               0.6655                       0.0000
0.6653               0.6653                       0.0000
0.6650               0.6650                       0.0000
0.6647               0.6647                       0.0000
0.6644               0.6644                       0.0000
0.6641               0.6641                       0.0000
0.6638               0.6638                       0.0000
0.6635               0.6635                       0.0000
0.6632               0.6632                       0.0000
0.6629               0.6629                       0.0000
0.6626               0.6626                       0.0000
0.6622               0.6622                       0.0000
0.6619               0.6619                       0.0000
0.6615               0.6615                       0.0000
0.6612               0.6612                       0.0000
0.6608               0.6608                       0.0000
0.6604               0.6605                       0.0000
0.6601               0.6601                       0.0000
0.6597               0.6597                       0.0000
0.6593               0.6593                       0.0000
0.6589               0.6589                       0.0000
0.6585               0.6585                       0.0000
0.6581               0.6581                       0.0000
0.6577               0.6577                       0.0000
0.6573               0.6573                       0.0000
0.6569               0.6569                       0.0000
0.6564               0.6564                       0.0000
0.6560               0.6560                       0.0000
0.6556               0.6556                       0.0000
0.6551               0.6551                       0.0000
0.6547               0.6547                       0.0000
0.6542               0.6542                       0.0000
0.6537               0.6538                       0.0000
0.6533               0.6533                       0.0000
0.6528               0.6528                       0.0000
0.6523               0.6523                       0.0000
0.6518               0.6519                       0.0000
0.6514               0.6514                       0.0000
0.6509               0.6509                       0.0000
0.6504               0.6504                       0.0000
0.6499               0.6499                       0.0000
0.6494               0.6494                       0.0000
0.6488               0.6489                       0.0000
0.6483               0.6483                       0.0000
0.6478               0.6478                       0.0000
0.6473               0.6473                       0.0000
0.6468               0.6468                       0.0000
0.6462               0.6462                       0.0000
0.6457               0.6457                       0.0000
0.6451               0.6451                       0.0000
0.6446               0.6446                       0.0000
0.6440               0.6440                       0.0000
0.6435               0.6435                       0.0000
0.6429               0.6429                       0.0000
0.6423               0.6423                       0.0000
0.6418               0.6418                       0.0000
0.6412               0.6412                       0.0000
0.6406               0.6406                       0.0000
0.6400               0.6400                       0.0000
0.6394               0.6394                       0.0000
0.6388               0.6388                       0.0000
0.6382               0.6383                       0.0000
0.6376               0.6377                       0.0000
0.6370               0.6370                       0.0000
0.6364               0.6364                       0.0000
0.6358               0.6358                       0.0000
0.6352               0.6352                       0.0000
0.6346               0.6346                       0.0000
0.6340               0.6340                       0.0000
0.6333               0.6333                       0.0000
0.6327               0.6327                       0.0000
0.6321               0.6321                       0.0000
0.6314               0.6314                       0.0000
0.6308               0.6308                       0.0000
0.6301               0.6301                       0.0000
0.6295               0.6295                       0.0000
0.6288               0.6288                       0.0000
0.6282               0.6282                       0.0000
0.6275               0.6275                       0.0000
0.6269               0.6269                       0.0000
0.6262               0.6262                       0.0000
0.6255               0.6255                       0.0000
0.6249               0.6249                       0.0000
0.6242               0.6242                       0.0000
0.6235               0.6235                       0.0000
0.6228               0.6228                       0.0000
0.6221               0.6221                       0.0000
0.6214               0.6214                       0.0000
0.6208               0.6208                       0.0000
0.6201               0.6201                       0.0000
0.6194               0.6194                       0.0000
0.6187               0.6187                       0.0000
0.6180               0.6180                       0.0000
0.6172               0.6173                       0.0000
0.6165               0.6165                       0.0000
0.6158               0.6158                       0.0000
0.6151               0.6151                       0.0000
0.6144               0.6144                       0.0000
0.6137               0.6137                       0.0000
0.6129               0.6130                       0.0000
0.6122               0.6122                       0.0000
0.6115               0.6115                       0.0000
0.6108               0.6108                       0.0000
0.6100               0.6100                       0.0000
0.6093               0.6093                       0.0000
0.6086               0.6086                       0.0000
0.6078               0.6078                       0.0000
0.6071               0.6071                       0.0000
0.6063               0.6063                       0.0000
0.6056               0.6056                       0.0000
0.6048               0.6048                       0.0000
0.6041               0.6041                       0.0000
0.6033               0.6033                       0.0000
0.6025               0.6025                       0.0000
0.6018               0.6018                       0.0000
0.6010               0.6010                       0.0000
0.6002               0.6003                       0.0000
0.5995               0.5995                       0.0000
0.5987               0.5987                       0.0000
0.5979               0.5979                       0.0000
0.5972               0.5972                       0.0000
0.5964               0.5964                       0.0000
0.5956               0.5956                       0.0000
0.5948               0.5948                       0.0000
0.5940               0.5940                       0.0000
0.5932               0.5933                       0.0000
0.5925               0.5925                       0.0000
0.5917               0.5917                       0.0000
0.5909               0.5909                       0.0000
0.5901               0.5901                       0.0000
0.5893               0.5893                       0.0000
0.5885               0.5885                       0.0000
0.5877               0.5877                       0.0000
0.5869               0.5869                       0.0000
0.5861               0.5861                       0.0000
0.5853               0.5853                       0.0000
0.5845               0.5845                       0.0000
0.5837               0.5837                       0.0000
0.5828               0.5828                       0.0000
0.5820               0.5820                       0.0000
0.5812               0.5812                       0.0000
0.5804               0.5804                       0.0000
0.5796               0.5796                       0.0000
0.5787               0.5788                       0.0000
0.5779               0.5779                       0.0000
0.5771               0.5771                       0.0000
0.5763               0.5763                       0.0000
0.5754               0.5754                       0.0000
0.5746               0.5746                       0.0000
0.5738               0.5738                       0.0000
0.5729               0.5730                       0.0000
0.5721               0.5721                       0.0000
0.5713               0.5713                       0.0000
0.5704               0.5704                       0.0000
0.5696               0.5696                       0.0000
0.5688               0.5688                       0.0000
0.5679               0.5679                       0.0000
0.5671               0.5671                       0.0000
0.5662               0.5662                       0.0000
0.5654               0.5654                       0.0000
0.5645               0.5645                       0.0000
0.5637               0.5637                       0.0000
0.5628               0.5628                       0.0000
0.5620               0.5620                       0.0000
0.5611               0.5611                       0.0000
0.5603               0.5603                       0.0000
0.5594               0.5594                       0.0000
0.5585               0.5585                       0.0000
0.5577               0.5577                       0.0000
0.5568               0.5568                       0.0000
0.5560               0.5560                       0.0000
0.5551               0.5551                       0.0000
0.5542               0.5542                       0.0000
0.5534               0.5534                       0.0000
0.5525               0.5525                       0.0000
0.5516               0.5516                       0.0000
0.5507               0.5507                       0.0000
0.5499               0.5499                       0.0000
0.5490               0.5490                       0.0000
0.5481               0.5481                       0.0000
0.5472               0.5473                       0.0000
0.5464               0.5464                       0.0000
0.5455               0.5455                       0.0000
0.5446               0.5446                       0.0000
0.5437               0.5437                       0.0000
0.5428               0.5429                       0.0000
0.5420               0.5420                       0.0000
0.5411               0.5411                       0.0000
0.5402               0.5402                       0.0000
0.5393               0.5393                       0.0000
0.5384               0.5384                       0.0000
0.5375               0.5375                       0.0000
0.5366               0.5366                       0.0000
0.5357               0.5358                       0.0000
0.5349               0.5349                       0.0000
0.5340               0.5340                       0.0000
0.5331               0.5331                       0.0000
0.5322               0.5322                       0.0000
0.5313               0.5313                       0.0000
0.5304               0.5304                       0.0000
0.5295               0.5295                       0.0000
0.5286               0.5286                       0.0000
0.5277               0.5277                       0.0000
0.5268               0.5268                       0.0000
0.5259               0.5259                       0.0000
0.5250               0.5250                       0.0000
0.5241               0.5241                       0.0000
0.5232               0.5232                       0.0000
0.5223               0.5223                       0.0000
0.5213               0.5214                       0.0000
0.5204               0.5204                       0.0000
0.5195               0.5195                       0.0000
0.5186               0.5186                       0.0000
0.5177               0.5177                       0.0000
0.5168               0.5168                       0.0000
0.5159               0.5159                       0.0000
0.5150               0.5150                       0.0000
0.5141               0.5141                       0.0000
0.5131               0.5131                       0.0000
0.5122               0.5122                       0.0000
0.5113               0.5113                       0.0000
0.5104               0.5104                       0.0000
0.5095               0.5095                       0.0000
0.5086               0.5086                       0.0000
0.5076               0.5076                       0.0000
0.5067               0.5067                       0.0000
0.5058               0.5058                       0.0000
0.5049               0.5049                       0.0000
0.5039               0.5040                       0.0000
0.5030               0.5030                       0.0000
0.5021               0.5021                       0.0000
0.5012               0.5012                       0.0000
0.5002               0.5003                       0.0000
0.4993               0.4993                       0.0000
0.4984               0.4984                       0.0000
0.4975               0.4975                       0.0000
0.4965               0.4965                       0.0000
0.4956               0.4956                       0.0000
0.4947               0.4947                       0.0000
0.4937               0.4938                       0.0000
0.4928               0.4928                       0.0000
0.4919               0.4919                       0.0000
0.4909               0.4910                       0.0000
0.4900               0.4900                       0.0000
0.4891               0.4891                       0.0000
0.4881               0.4882                       0.0000
0.4872               0.4872                       0.0000
0.4863               0.4863                       0.0000
0.4853               0.4853                       0.0000
0.4844               0.4844                       0.0000
0.4835               0.4835                       0.0000
0.4825               0.4825                       0.0000
0.4816               0.4816                       0.0000
0.4806               0.4806                       0.0000
0.4797               0.4797                       0.0000
0.4788               0.4788                       0.0000
0.4778               0.4778                       0.0000
0.4769               0.4769                       0.0000
0.4759               0.4759                       0.0000
0.4750               0.4750                       0.0000
0.4740               0.4741                       0.0000
0.4731               0.4731                       0.0000
0.4722               0.4722                       0.0000
0.4712               0.4712                       0.0000
0.4703               0.4703                       0.0000
0.4693               0.4693                       0.0000
0.4684               0.4684                       0.0000
0.4674               0.4674                       0.0000
0.4665               0.4665                       0.0000
0.4655               0.4655                       0.0000
0.4646               0.4646                       0.0000
0.4636               0.4636                       0.0000
0.4627               0.4627                       0.0000
0.4617               0.4617                       0.0000
0.4608               0.4608                       0.0000
0.4598               0.4598                       0.0000
0.4589               0.4589                       0.0000
0.4579               0.4579                       0.0000
0.4570               0.4570                       0.0000
0.4560               0.4560                       0.0000
0.4551               0.4551                       0.0000
0.4541               0.4541                       0.0000
0.4532               0.4532                       0.0000
0.4522               0.4522                       0.0000
0.4512               0.4512                       0.0000
0.4503               0.4503                       0.0000
0.4493               0.4493                       0.0000
0.4484               0.4484                       0.0000
0.4474               0.4474                       0.0000
0.4465               0.4465                       0.0000
0.4455               0.4455                       0.0000
0.4445               0.4445                       0.0000
0.4436               0.4436                       0.0000
0.4426               0.4426                       0.0000
0.4417               0.4417                       0.0000
0.4407               0.4407                       0.0000
0.4397               0.4397                       0.0000
0.4388               0.4388                       0.0000
0.4378               0.4378                       0.0000
0.4369               0.4369                       0.0000
0.4359               0.4359                       0.0000
0.4349               0.4349                       0.0000
0.4340               0.4340                       0.0000
0.4330               0.4330                       0.0000
0.4320               0.4321                       0.0000
0.4311               0.4311                       0.0000
0.4301               0.4301                       0.0000
0.4292               0.4292                       0.0000
0.4282               0.4282                       0.0000
0.4272               0.4272                       0.0000
0.4263               0.4263                       0.0000
0.4253               0.4253                       0.0000
0.4243               0.4243                       0.0000
0.4234               0.4234                       0.0000
0.4224               0.4224                       0.0000
0.4214               0.4214                       0.0000
0.4205               0.4205                       0.0000
0.4195               0.4195                       0.0000
0.4185               0.4185                       0.0000
0.4176               0.4176                       0.0000
0.4166               0.4166                       0.0000
0.4156               0.4156                       0.0000
0.4147               0.4147                       0.0000
0.4137               0.4137                       0.0000
0.4127               0.4127                       0.0000
0.4117               0.4117                       0.0000
0.4108               0.4108                       0.0000
0.4098               0.4098                       0.0000
0.4088               0.4088                       0.0000
0.4079               0.4079                       0.0000
0.4069               0.4069                       0.0000
0.4059               0.4059                       0.0000
0.4049               0.4049                       0.0000
0.4040               0.4040                       0.0000
0.4030               0.4030                       0.0000
0.4020               0.4020                       0.0000
0.4011               0.4011                       0.0000
0.4001               0.4001                       0.0000
0.3991               0.3991                       0.0000
0.3981               0.3981                       0.0000
0.3972               0.3972                       0.0000
0.3962               0.3962                       0.0000
0.3952               0.3952                       0.0000
0.3942               0.3942                       0.0000
0.3933               0.3933                       0.0000
0.3923               0.3923                       0.0000
0.3913               0.3913                       0.0000
0.3903               0.3903                       0.0000
0.3894               0.3894                       0.0000
0.3884               0.3884                       0.0000
0.3874               0.3874                       0.0000
0.3864               0.3864                       0.0000
0.3854               0.3855                       0.0000
0.3845               0.3845                       0.0000
0.3835               0.3835                       0.0000
0.3825               0.3825                       0.0000
0.3815               0.3815                       0.0000
0.3806               0.3806                       0.0000
0.3796               0.3796                       0.0000
0.3786               0.3786                       0.0000
0.3776               0.3776                       0.0000
0.3766               0.3766                       0.0000
0.3757               0.3757                       0.0000
0.3747               0.3747                       0.0000
0.3737               0.3737                       0.0000
0.3727               0.3727                       0.0000
0.3717               0.3718                       0.0000
0.3708               0.3708                       0.0000
0.3698               0.3698                       0.0000
0.3688               0.3688                       0.0000
0.3678               0.3678                       0.0000
0.3668               0.3668                       0.0000
0.3659               0.3659                       0.0000
0.3649               0.3649                       0.0000
0.3639               0.3639                       0.0000
0.3629               0.3629                       0.0000
0.3619               0.3619                       0.0000
0.3610               0.3610                       0.0000
0.3600               0.3600                       0.0000
0.3590               0.3590                       0.0000
0.3580               0.3580                       0.0000
0.3570               0.3570                       0.0000
0.3560               0.3560                       0.0000
0.3551               0.3551                       0.0000
0.3541               0.3541                       0.0000
0.3531               0.3531                       0.0000
0.3521               0.3521                       0.0000
0.3511               0.3511                       0.0000
0.3501               0.3501                       0.0000
0.3492               0.3492                       0.0000
0.3482               0.3482                       0.0000
0.3472               0.3472                       0.0000
0.3462               0.3462                       0.0000
0.3452               0.3452                       0.0000
0.3442               0.3442                       0.0000
0.3433               0.3433                       0.0000
0.3423               0.3423                       0.0000
0.3413               0.3413                       0.0000
0.3403               0.3403                       0.0000
0.3393               0.3393                       0.0000
0.3383               0.3383                       0.0000
0.3373               0.3373                       0.0000
0.3364               0.3364                       0.0000
0.3354               0.3354                       0.0000
0.3344               0.3344                       0.0000
0.3334               0.3334                       0.0000
0.3324               0.3324                       0.0000
0.3314               0.3314                       0.0000
0.3304               0.3304                       0.0000
0.3295               0.3295                       0.0000
0.3285               0.3285                       0.0000
0.3275               0.3275                       0.0000
0.3265               0.3265                       0.0000
0.3255               0.3255                       0.0000
0.3245               0.3245                       0.0000
0.3235               0.3235                       0.0000
0.3225               0.3226                       0.0000
0.3216               0.3216                       0.0000
0.3206               0.3206                       0.0000
0.3196               0.3196                       0.0000
0.3186               0.3186                       0.0000
0.3176               0.3176                       0.0000
0.3166               0.3166                       0.0000
0.3156               0.3156                       0.0000
0.3146               0.3146                       0.0000
0.3137               0.3137                       0.0000
0.3127               0.3127                       0.0000
0.3117               0.3117                       0.0000
0.3107               0.3107                       0.0000
0.3097               0.3097                       0.0000
0.3087               0.3087                       0.0000
0.3077               0.3077                       0.0000
0.3067               0.3067                       0.0000
0.3057               0.3057                       0.0000
0.3048               0.3048                       0.0000
0.3038               0.3038                       0.0000
0.3028               0.3028                       0.0000
0.3018               0.3018                       0.0000
0.3008               0.3008                       0.0000
0.2998               0.2998                       0.0000
0.2988               0.2988                       0.0000
0.2978               0.2978                       0.0000
0.2968               0.2968                       0.0000
0.2959               0.2959                       0.0000
0.2949               0.2949                       0.0000
0.2939               0.2939                       0.0000
0.2929               0.2929                       0.0000
0.2919               0.2919                       0.0000
0.2909               0.2909                       0.0000
0.2899               0.2899                       0.0000
0.2889               0.2889                       0.0000
0.2879               0.2879                       0.0000
0.2869               0.2869                       0.0000
0.2859               0.2859                       0.0000
0.2850               0.2850                       0.0000
0.2840               0.2840                       0.0000
0.2830               0.2830                       0.0000
0.2820               0.2820                       0.0000
0.2810               0.2810                       0.0000
0.2800               0.2800                       0.0000
0.2790               0.2790                       0.0000
0.2780               0.2780                       0.0000
0.2770               0.2770                       0.0000
0.2760               0.2760                       0.0000
0.2750               0.2750                       0.0000
0.2740               0.2740                       0.0000
0.2731               0.2731                       0.0000
0.2721               0.2721                       0.0000
0.2711               0.2711                       0.0000
0.2701               0.2701                       0.0000
0.2691               0.2691                       0.0000
0.2681               0.2681                       0.0000
0.2671               0.2671                       0.0000
0.2661               0.2661                       0.0000
0.2651               0.2651                       0.0000
0.2641               0.2641                       0.0000
0.2631               0.2631                       0.0000
0.2621               0.2621                       0.0000
0.2611               0.2611                       0.0000
0.2602               0.2602                       0.0000
0.2592               0.2592                       0.0000
0.2582               0.2582                       0.0000
0.2572               0.2572                       0.0000
0.2562               0.2562                       0.0000
0.2552               0.2552                       0.0000
0.2542               0.2542                       0.0000
0.2532               0.2532                       0.0000
0.2522               0.2522                       0.0000
0.2512               0.2512                       0.0000
0.2502               0.2502                       0.0000
0.2492               0.2492                       0.0000
0.2482               0.2482                       0.0000
0.2472               0.2472                       0.0000
0.2462               0.2463                       0.0000
0.2453               0.2453                       0.0000
0.2443               0.2443                       0.0000
0.2433               0.2433                       0.0000
0.2423               0.2423                       0.0000
0.2413               0.2413                       0.0000
0.2403               0.2403                       0.0000
0.2393               0.2393                       0.0000
0.2383               0.2383                       0.0000
0.2373               0.2373                       0.0000
0.2363               0.2363                       0.0000
0.2353               0.2353                       0.0000
0.2343               0.2343                       0.0000
0.2333               0.2333                       0.0000
0.2323               0.2323                       0.0000
0.2313               0.2313                       0.0000
0.2303               0.2303                       0.0000
0.2294               0.2294                       0.0000
0.2284               0.2284                       0.0000
0.2274               0.2274                       0.0000
0.2264               0.2264                       0.0000
0.2254               0.2254                       0.0000
0.2244               0.2244                       0.0000
0.2234               0.2234                       0.0000
0.2224               0.2224                       0.0000
0.2214               0.2214                       0.0000
0.2204               0.2204                       0.0000
0.2194               0.2194                       0.0000
0.2184               0.2184                       0.0000
0.2174               0.2174                       0.0000
0.2164               0.2164                       0.0000
0.2154               0.2154                       0.0000
0.2144               0.2144                       0.0000
0.2134               0.2134                       0.0000
0.2124               0.2124                       0.0000
0.2114               0.2114                       0.0000
0.2104               0.2105                       0.0000
0.2095               0.2095                       0.0000
0.2085               0.2085                       0.0000
0.2075               0.2075                       0.0000
0.2065               0.2065                       0.0000
0.2055               0.2055                       0.0000
0.2045               0.2045                       0.0000
0.2035               0.2035                       0.0000
0.2025               0.2025                       0.0000
0.2015               0.2015                       0.0000
0.2005               0.2005                       0.0000
0.1995               0.1995                       0.0000
0.1985               0.1985                       0.0000
0.1975               0.1975                       0.0000
0.1965               0.1965                       0.0000
0.1955               0.1955                       0.0000
0.1945               0.1945                       0.0000
0.1935               0.1935                       0.0000
0.1925               0.1925                       0.0000
0.1915               0.1915                       0.0000
0.1905               0.1905                       0.0000
0.1895               0.1895                       0.0000
0.1885               0.1885                       0.0000
0.1876               0.1876                       0.0000
0.1866               0.1866                       0.0000
0.1856               0.1856                       0.0000
0.1846               0.1846                       0.0000
0.1836               0.1836                       0.0000
0.1826               0.1826                       0.0000
0.1816               0.1816                       0.0000
0.1806               0.1806                       0.0000
0.1796               0.1796                       0.0000
0.1786               0.1786                       0.0000
0.1776               0.1776                       0.0000
0.1766               0.1766                       0.0000
0.1756               0.1756                       0.0000
0.1746               0.1746                       0.0000
0.1736               0.1736                       0.0000
0.1726               0.1726                       0.0000
0.1716               0.1716                       0.0000
0.1706               0.1706                       0.0000
0.1696               0.1696                       0.0000
0.1686               0.1686                       0.0000
0.1676               0.1676                       0.0000
0.1666               0.1666                       0.0000
0.1656               0.1656                       0.0000
0.1646               0.1646                       0.0000
0.1636               0.1636                       0.0000
0.1626               0.1626                       0.0000
0.1616               0.1616                       0.0000
0.1606               0.1607                       0.0000
0.1597               0.1597                       0.0000
0.1587               0.1587                       0.0000
0.1577               0.1577                       0.0000
0.1567               0.1567                       0.0000
0.1557               0.1557                       0.0000
0.1547               0.1547                       0.0000
0.1537               0.1537                       0.0000
0.1527               0.1527                       0.0000
0.1517               0.1517                       0.0000
0.1507               0.1507                       0.0000
0.1497               0.1497                       0.0000
0.1487               0.1487                       0.0000
0.1477               0.1477                       0.0000
0.1467               0.1467                       0.0000
0.1457               0.1457                       0.0000
0.1447               0.1447                       0.0000
0.1437               0.1437                       0.0000
0.1427               0.1427                       0.0000
0.1417               0.1417                       0.0000
0.1407               0.1407                       0.0000
0.1397               0.1397                       0.0000
0.1387               0.1387                       0.0000
0.1377               0.1377                       0.0000
0.1367               0.1367                       0.0000
0.1357               0.1357                       0.0000
0.1347               0.1347                       0.0000
0.1337               0.1337                       0.0000
0.1327               0.1327                       0.0000
0.1317               0.1317                       0.0000
