Nummerical derivartion in task../Plotting_kjetil/n_3
n=  1000
Nummerical_solution   Analytical_solution        rel.error
0.0089               0.0089                       0.0000
0.0178               0.0178                       0.0000
0.0265               0.0265                       0.0000
0.0352               0.0352                       0.0000
0.0437               0.0437                       0.0000
0.0522               0.0522                       0.0000
0.0605               0.0605                       0.0000
0.0688               0.0688                       0.0000
0.0770               0.0770                       0.0000
0.0851               0.0851                       0.0000
0.0931               0.0931                       0.0000
0.1010               0.1010                       0.0000
0.1088               0.1088                       0.0000
0.1165               0.1165                       0.0000
0.1242               0.1242                       0.0000
0.1317               0.1317                       0.0000
0.1392               0.1392                       0.0000
0.1466               0.1466                       0.0000
0.1539               0.1539                       0.0000
0.1611               0.1611                       0.0000
0.1683               0.1683                       0.0000
0.1753               0.1753                       0.0000
0.1823               0.1823                       0.0000
0.1892               0.1892                       0.0000
0.1960               0.1960                       0.0000
0.2028               0.2028                       0.0000
0.2094               0.2094                       0.0000
0.2160               0.2160                       0.0000
0.2225               0.2225                       0.0000
0.2290               0.2290                       0.0000
0.2354               0.2354                       0.0000
0.2417               0.2417                       0.0000
0.2479               0.2479                       0.0000
0.2540               0.2540                       0.0000
0.2601               0.2601                       0.0000
0.2661               0.2661                       0.0000
0.2720               0.2720                       0.0000
0.2779               0.2779                       0.0000
0.2837               0.2837                       0.0000
0.2895               0.2895                       0.0000
0.2951               0.2951                       0.0000
0.3007               0.3007                       0.0000
0.3063               0.3063                       0.0000
0.3117               0.3117                       0.0000
0.3171               0.3171                       0.0000
0.3225               0.3225                       0.0000
0.3278               0.3278                       0.0000
0.3330               0.3330                       0.0000
0.3381               0.3381                       0.0000
0.3432               0.3432                       0.0000
0.3482               0.3483                       0.0000
0.3532               0.3532                       0.0000
0.3581               0.3581                       0.0000
0.3630               0.3630                       0.0000
0.3678               0.3678                       0.0000
0.3725               0.3725                       0.0000
0.3772               0.3772                       0.0000
0.3818               0.3818                       0.0000
0.3864               0.3864                       0.0000
0.3909               0.3909                       0.0000
0.3954               0.3954                       0.0000
0.3998               0.3998                       0.0000
0.4041               0.4041                       0.0000
0.4084               0.4084                       0.0000
0.4127               0.4127                       0.0000
0.4169               0.4169                       0.0000
0.4210               0.4210                       0.0000
0.4251               0.4251                       0.0000
0.4291               0.4292                       0.0000
0.4331               0.4331                       0.0000
0.4371               0.4371                       0.0000
0.4410               0.4410                       0.0000
0.4448               0.4448                       0.0000
0.4486               0.4486                       0.0000
0.4524               0.4524                       0.0000
0.4561               0.4561                       0.0000
0.4597               0.4597                       0.0000
0.4633               0.4633                       0.0000
0.4669               0.4669                       0.0000
0.4704               0.4704                       0.0000
0.4739               0.4739                       0.0000
0.4773               0.4773                       0.0000
0.4807               0.4807                       0.0000
0.4840               0.4840                       0.0000
0.4873               0.4873                       0.0000
0.4906               0.4906                       0.0000
0.4938               0.4938                       0.0000
0.4969               0.4969                       0.0000
0.5001               0.5001                       0.0000
0.5032               0.5032                       0.0000
0.5062               0.5062                       0.0000
0.5092               0.5092                       0.0000
0.5122               0.5122                       0.0000
0.5151               0.5151                       0.0000
0.5180               0.5180                       0.0000
0.5208               0.5208                       0.0000
0.5236               0.5237                       0.0000
0.5264               0.5264                       0.0000
0.5292               0.5292                       0.0000
0.5319               0.5319                       0.0000
0.5345               0.5345                       0.0000
0.5371               0.5371                       0.0000
0.5397               0.5397                       0.0000
0.5423               0.5423                       0.0000
0.5448               0.5448                       0.0000
0.5473               0.5473                       0.0000
0.5497               0.5497                       0.0000
0.5521               0.5522                       0.0000
0.5545               0.5545                       0.0000
0.5569               0.5569                       0.0000
0.5592               0.5592                       0.0000
0.5615               0.5615                       0.0000
0.5637               0.5637                       0.0000
0.5659               0.5659                       0.0000
0.5681               0.5681                       0.0000
0.5703               0.5703                       0.0000
0.5724               0.5724                       0.0000
0.5745               0.5745                       0.0000
0.5765               0.5765                       0.0000
0.5786               0.5786                       0.0000
0.5806               0.5806                       0.0000
0.5825               0.5825                       0.0000
0.5845               0.5845                       0.0000
0.5864               0.5864                       0.0000
0.5883               0.5883                       0.0000
0.5901               0.5901                       0.0000
0.5919               0.5919                       0.0000
0.5937               0.5937                       0.0000
0.5955               0.5955                       0.0000
0.5972               0.5972                       0.0000
0.5990               0.5990                       0.0000
0.6006               0.6007                       0.0000
0.6023               0.6023                       0.0000
0.6039               0.6039                       0.0000
0.6055               0.6056                       0.0000
0.6071               0.6071                       0.0000
0.6087               0.6087                       0.0000
0.6102               0.6102                       0.0000
0.6117               0.6117                       0.0000
0.6132               0.6132                       0.0000
0.6147               0.6147                       0.0000
