Nummerical derivartion in task 1b
n=  100
Nummerical_solution   Analytical_solution        rel.error
0.0978               0.0844                       0.1587
0.1778               0.1598                       0.1121
0.2479               0.2273                       0.0908
0.3097               0.2874                       0.0777
0.3643               0.3410                       0.0685
0.4124               0.3885                       0.0616
0.4548               0.4307                       0.0561
0.4921               0.4679                       0.0516
0.5247               0.5007                       0.0479
0.5532               0.5295                       0.0448
0.5779               0.5546                       0.0420
0.5993               0.5764                       0.0397
0.6176               0.5952                       0.0376
0.6332               0.6114                       0.0357
0.6463               0.6250                       0.0340
0.6572               0.6365                       0.0325
0.6660               0.6459                       0.0311
0.6731               0.6535                       0.0299
0.6784               0.6595                       0.0287
0.6823               0.6639                       0.0277
0.6849               0.6671                       0.0267
0.6862               0.6689                       0.0258
0.6865               0.6697                       0.0250
0.6857               0.6695                       0.0242
0.6841               0.6683                       0.0235
0.6816               0.6664                       0.0228
0.6784               0.6637                       0.0222
0.6745               0.6603                       0.0216
0.6701               0.6563                       0.0211
0.6651               0.6517                       0.0205
0.6596               0.6466                       0.0200
0.6537               0.6411                       0.0196
0.6473               0.6352                       0.0191
0.6406               0.6289                       0.0187
0.6336               0.6222                       0.0183
0.6263               0.6153                       0.0179
0.6187               0.6080                       0.0176
0.6109               0.6006                       0.0172
0.6029               0.5928                       0.0169
0.5946               0.5849                       0.0166
0.5862               0.5768                       0.0163
0.5776               0.5685                       0.0160
0.5689               0.5601                       0.0157
0.5601               0.5516                       0.0155
0.5511               0.5429                       0.0152
0.5421               0.5341                       0.0150
0.5329               0.5251                       0.0147
0.5236               0.5161                       0.0145
0.5143               0.5071                       0.0143
0.5049               0.4979                       0.0141
0.4955               0.4887                       0.0139
0.4859               0.4794                       0.0137
0.4764               0.4700                       0.0135
0.4668               0.4606                       0.0133
0.4571               0.4512                       0.0132
0.4474               0.4417                       0.0130
0.4377               0.4321                       0.0128
0.4279               0.4226                       0.0127
0.4181               0.4130                       0.0125
0.4083               0.4033                       0.0124
0.3985               0.3937                       0.0122
0.3887               0.3840                       0.0121
0.3788               0.3743                       0.0120
0.3689               0.3646                       0.0118
0.3590               0.3549                       0.0117
0.3491               0.3451                       0.0116
0.3392               0.3353                       0.0115
0.3293               0.3256                       0.0113
0.3193               0.3158                       0.0112
0.3094               0.3060                       0.0111
0.2994               0.2962                       0.0110
0.2895               0.2864                       0.0109
0.2795               0.2765                       0.0108
0.2695               0.2667                       0.0107
0.2596               0.2569                       0.0106
0.2496               0.2470                       0.0105
0.2396               0.2372                       0.0104
0.2296               0.2273                       0.0103
0.2197               0.2175                       0.0102
0.2097               0.2076                       0.0101
0.1997               0.1977                       0.0100
0.1897               0.1879                       0.0099
0.1797               0.1780                       0.0097
0.1697               0.1681                       0.0096
0.1597               0.1582                       0.0095
0.1498               0.1484                       0.0094
0.1398               0.1385                       0.0093
0.1298               0.1286                       0.0092
0.1198               0.1187                       0.0091
0.1098               0.1088                       0.0089
0.0998               0.0989                       0.0088
0.0898               0.0890                       0.0086
0.0798               0.0791                       0.0084
0.0698               0.0693                       0.0082
0.0598               0.0594                       0.0079
0.0498               0.0495                       0.0075
0.0399               0.0396                       0.0069
0.0299               0.0297                       0.0060
0.0199               0.0198                       0.0043
0.0099               0.0099                       0.0008
